start_date_inclusive,end_date_inclusive,work_mode,location_city,location_subdivision,location_country,custom_field_business_unit,custom_field_region
2022-03-01,2024-01-31,Hybrid,Los Angeles,California,United States,Business Unit Delta ,North America
2022-01-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Echo,North America
2022-01-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Charlie,North America
2022-03-01,2024-01-31,Remote,Los Angeles,California,United States,Business Unit Delta ,North America
2022-01-01,2024-01-31,Remote,Los Angeles,California,United States,Business Unit Alpha ,North America
2022-05-01,2024-01-31,Remote,Los Angeles,California,United States,Business Unit Charlie,North America
2022-05-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Alpha ,North America
2022-04-01,2024-01-31,Hybrid,Los Angeles,California,United States,Business Unit Charlie,North America
2022-01-01,2024-01-31,Remote,Los Angeles,California,United States,Business Unit Echo,North America
2022-01-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Alpha ,North America
2022-01-01,2024-01-31,Remote,Los Angeles,California,United States,Business Unit Bravo,North America
2022-05-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Echo,North America
2022-01-01,2023-10-31,On-site,Los Angeles,California,United States,Business Unit Delta ,North America
2022-01-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Charlie,North America
2022-02-01,2023-09-30,Remote,Los Angeles,California,United States,Business Unit Delta ,North America
2022-03-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Delta ,North America
2022-01-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Charlie,North America
2022-01-01,2024-01-31,Hybrid,Los Angeles,California,United States,Business Unit Echo,North America
2022-01-01,2024-01-31,Hybrid,Los Angeles,California,United States,Business Unit Delta ,North America
2022-03-01,2024-01-31,Remote,Los Angeles,California,United States,Business Unit Echo,North America
2022-01-01,2024-01-31,Remote,Los Angeles,California,United States,Business Unit Echo,North America
2022-01-01,2023-09-30,On-site,Los Angeles,California,United States,Business Unit Echo,North America
2022-03-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Charlie,North America
2022-01-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Delta ,North America
2022-01-01,2023-08-31,On-site,Los Angeles,California,United States,Business Unit Charlie,North America
2022-03-01,2024-01-31,On-site,Los Angeles,California,United States,Business Unit Echo,North America
2022-01-01,2024-01-31,Hybrid,Los Angeles,California,United States,Business Unit Bravo,North America
